ID,score,COLPREP,DIS_COH,LOGDTA,LOGDTU,NSQG,NSQM,NSQU,NWF_MEDIAN,SVF,WORDLN_2
127,2,0.571301177,-0.810935906,4.232656178,2.302585093,-0.139940876,-0.120473184,-0.085187405,-60.66525698,4.294194708,4.766328012
128,1,0.529124205,-0.447962313,4.098502572,2.48490665,-0.163817885,-0.148761601,-0.09839655,-55.85794173,3.765152435,4.604426003
129,4,0.638730554,-0.658422861,4.049608668,2.079441542,-0.119182976,-0.066009836,-0.046676003,-66.46240451,3.115342275,4.065359477
130,1,0.387051621,-0.442927638,3.421816669,2.079441542,-0.154905386,-0.127775313,-0.110656667,-63.18137516,2.808165756,4.865306122
131,1,0.454082051,-0.577859616,3.663561646,0,-0.273057431,-0.226455407,-0.226455407,-60.58973737,3.169143488,5.051282051
132,2,0.475599646,-0.102172155,4.204692619,1.945910149,-0.128514227,-0.221450924,0,-58.4603749,4.078701559,4.865671642
133,0,0.056,-0.304418479,3.583518938,0,-0.338931025,-0.40824829,-0.166666667,-61.65810722,1.997983428,5.333333333
134,2,0.547,-0.277166183,4.045554398,1.945910149,-0.131126174,-0.132287566,0,-64.30173049,3.638473083,4.155
135,2,0.496106443,-0.178020161,3.044522438,1.609437912,-0.21317509,-0.276026224,0,-58.95017608,3.063458893,5.161904762
136,2,0.736695947,-0.265175925,4.208417018,2.48490665,-0.136563637,-0.145140192,-0.086226123,-57.88384668,3.909141175,5.095415118
137,1,0.61570405,-0.464619858,2.593387293,2.079441542,-0.124608906,0,0,-65.9243443,3.110258241,4.53271028
138,3,0.684575745,0.145213384,4.325456283,1.609437912,-0.149178774,-0.115010927,-0.072739297,-55.84036331,3.342431428,5.164021164
139,2,0.732382335,0.0520914,3.48343548,1.945910149,-0.143741344,-0.132453236,-0.093658581,-64.0254566,3.761728374,4.149122807
140,3,0.613424731,-0.591120582,3.875819957,2.197224577,-0.109621503,-0.096003072,-0.067884423,-66.24908868,3.541248056,4.078341014
141,2,0.751737542,-0.149736121,3.816141234,1.945910149,-0.157891493,-0.125392466,0,-67.6711217,3.39278504,4.166666667
142,4,0.682528365,-0.409111939,4.569543008,2.079441542,-0.129725658,-0.080477847,-0.071981575,-64.6924628,3.610529915,4.150259067
143,2,0.511827261,-1.653837361,3.448398983,2.995732274,-0.112081588,-0.235889549,-0.112776775,-68.1357596,3.082297827,3.920508744
144,2,0.539483767,-0.880268286,4.179866736,2.63905733,-0.139850235,-0.144100754,-0.080977633,-57.38397755,4.222311668,4.595628415
